,Name,Width,Height
0,seismicdeeplearning_dutchf3_seresnetunet_patch_section_depth_11,4033,4033
1,agripredict_disease_classification_prop_11,95,93
2,deit_tiny_distilled_patch16_224_imagenet_11,32,32
3,cyclegan_horse2zebra_g_11,263,263
4,pytorchencoding_deeplab_resnest50_ade_11,-703,-703
5,dcgan_fashiongencloth_gen_11,35,35
6,pgan_celeba_cropped_disc_11,64,64
7,pgan_dtd_gen_11,2,2
8,resnet50_fractalDB1k_11,225,225
9,realesrganx4_custom_11,2,2
10,hardnet39ds_imagenet_11,33,33
11,deit_tiny_patch16_224_imagenet_11,32,32
12,deit_base_patch16_224_imagenet_11,32,32
13,lungmask_unet_R231CovidWeb_11,32,32
14,cyclegan_style_ukiyoe_g_11,263,263
15,cyclegan_map2sat_g_11,263,263
16,pytorchencoding_deeplab_resnest50_pcontext_11,-703,-703
17,pix2pix_map2sat_g_11,131072,131072
18,facebook_detr_resnet_50_coco2017_12,33,33
19,starnet_RGB_gan_g_prop_9,131072,131072
20,pytorchencoding_deeplab_resnest269_pcontext_11,-1615,-1615
21,stackganv2_imagenet_11,2,2
22,pgan_celebahq_256_gen_11,2,2
23,cyclegan_style_cezanne_g_11,263,263
24,mealv2_resnest50_cutmix_imagenet_11,33,33
25,deit_small_patch16_224_imagenet_11,32,32
26,pgan_celeba_cropped_gen_11,2,2
27,mealv2_mobilenetv3_small_100_imagenet_11,143,143
28,compnet_weights_sagittal_improvement_09_NITRC_IITmean_b0_256_12,2097152,2097152
29,cyclegan_monet2photo_g_11,263,263
30,cyclegan_facades_photo2label_g_11,263,263
31,cyclegan_facades_label2photo_g_11,263,263
32,cyclegan_style_vangogh_g_11,263,263
33,stylegan_flickerhq_1024_disc_11,512,512
34,starnet_RGB_gan_d_prop_9,95,95
35,starnet_Greyscale_gan_g_prop_9,131072,131072
36,unet_lgg_mri_segmentation_11,512,512
37,pix2pix_facades_label2photo_g_11,131072,131072
38,deit_base_distilled_patch16_384_imagenet_11,32,32
39,compnet_weights_coronal_improvement_08_NITRC_IITmean_b0_256_12,2097152,2097152
40,mealv2_mobilenetv3_small_075_imagenet_11,143,143
41,ntsnet_cub2002011_11,4097,4097
42,cyclegan_orange2apple_g_11,263,263
43,cyclegan_cityscapes_label2photo_g_11,263,263
44,ukbiobank_deep_brain_age_ukbiobank_11,382,446
45,pix2pix_edges2shoes_g_11,131072,131072
46,facebook_detr_resnet_50_dc5_panoptic_coco2017_12,-47,-47
47,taskconditioned_kaist_11,33,33
48,realesrganx2_custom_11,2,2
49,resnet50_fractalDB10k_11,225,225
50,pytorchencoding_fcn_resnest50_ade_11,-143,-143
51,yolov5m_v40_coco2017_12,65,65
52,resnet18_places365_11,33,33
53,hardnet68_imagenet_11,61,61
54,unet_carvana_carvana_11,32,32
55,alexnet_places365_11,95,95
56,lungmask_unet_LTRCLobes_11,32,32
57,cyclegan_sat2map_g_11,263,263
58,cyclegan_iphone2dslr_flower_g_11,263,263
59,hardnet85_imagenet_11,61,61
60,pytorchencoding_deeplab_resnest101_pcontext_11,-975,-975
61,pgan_celebahq_512_disc_11,256,256
62,yolov5x_v40_coco2017_12,65,65
63,cyclegan_winter2summer_yosemite_g_11,263,263
64,stylegan_flickerhq_1024_gen_11,2,2
65,deit_base_patch16_384_imagenet_11,32,32
66,deit_base_distilled_patch16_224_imagenet_11,32,32
67,seismicdeeplearning_dutchf3_hrnet_patch_section_depth_11,8193,8193
68,compnet_weights_axial_improvement_08_NITRC_IITmean_b0_256_12,2097152,2097152
69,pix2pix_sat2map_g_11,131072,131072
