,Name,Filesize
0,cyclegan_style_vangogh_g_11,43.47MB
1,mealv2_mobilenetv3_small_100_imagenet_11,9.71MB
2,mealv1_resnest50_imagenet_11,97.40MB
3,pytorchencoding_deeplab_resnest101_pcontext_11,246.79MB
4,cyclegan_cityscapes_photo2label_g_11,43.47MB
5,starnet_RGB_gan_d_prop_9,6.76MB
6,yolov5s_v40_coco2017_12,27.75MB
7,cyclegan_style_ukiyoe_g_11,43.47MB
8,pix2pix_map2sat_g_11,207.59MB
9,midas_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,397.07MB
10,hardnet68ds_imagenet_11,15.94MB
11,resnet50_places365_11,92.44MB
12,tinynet_a_imagenet_11,23.53MB
13,mealv2_resnest50_imagenet_11,97.40MB
14,mealv2_resnest50_380x380_imagenet_11,97.40MB
15,compnet_weights_coronal_improvement_08_NITRC_IITmean_b0_256_12,71.46MB
16,starnet_Greyscale_gan_d_prop_9,6.76MB
17,resnet50_fractalDB1k_11,97.40MB
18,ukbiobank_deep_brain_age_ukbiobank_11,11.26MB
19,torchseg_dfn_R101_v1c_voc_11,336.80MB
20,mealv2_resnest50_cutmix_imagenet_11,97.40MB
21,ntsnet_cub2002011_11,200.33MB
22,taskconditioned_kaist_11,234.61MB
23,starnet_Greyscale_gan_g_prop_9,207.58MB
24,seismicdeeplearning_dutchf3_hrnet_patch_section_depth_11,251.13MB
25,pytorchencoding_deeplab_resnest269_pcontext_11,485.58MB
26,lungmask_unet_R231_11,110.52MB
27,pytorchencoding_deeplab_resnest200_ade_11,330.52MB
28,pgan_celeba_cropped_gen_11,87.51MB
29,pytorchencoding_fcn_resnest50_ade_11,142.38MB
30,pgan_celebahq_512_disc_11,88.02MB
31,mealv2_mobilenet_v3_large_100_imagenet_11,20.91MB
32,pgan_celebahq_512_gen_11,88.04MB
33,agripredict_disease_classification_prop_11,11.06MB
34,yolov5m_v40_coco2017_12,81.50MB
35,lungmask_unet_LTRCLobes_11,110.52MB
36,pytorchencoding_deeplab_resnest269_ade_11,485.75MB
37,stackganv2_imagenet_11,63.13MB
38,pix2pix_edges2handbags_g_11,207.59MB
39,midas_small_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,63.23MB
40,cyclegan_orange2apple_g_11,43.47MB
41,compnet_weights_sagittal_improvement_09_NITRC_IITmean_b0_256_12,71.46MB
42,facebook_detr_resnet_50_dc5_panoptic_coco2017_12,163.99MB
43,cyclegan_cityscapes_label2photo_g_11,43.47MB
44,hardnet39ds_imagenet_11,13.29MB
45,pix2pix_sat2map_g_11,207.59MB
46,mealv2_mobilenetv3_small_075_imagenet_11,7.80MB
47,tinynet_b_imagenet_11,14.19MB
48,pytorchencoding_deeplab_resnest50_ade_11,167.74MB
49,seismicdeeplearning_dutchf3_hrnet_patch_patch_depth_11,251.13MB
50,pix2pix_day2night_g_11,207.59MB
51,pix2pix_facades_label2photo_g_11,207.59MB
52,densenet161_places365_11,104.81MB
53,tinynet_e_imagenet_11,7.78MB
54,pytorchencoding_fcn_resnet50s_ade_11,135.50MB
55,deit_base_distilled_patch16_384_imagenet_11,334.33MB
56,pytorchencoding_deeplab_resnest101_ade_11,246.97MB
57,cyclegan_style_monet_g_11,43.47MB
58,facebook_detr_resnet_50_panoptic_coco2017_12,163.99MB
59,deit_base_distilled_patch16_224_imagenet_11,333.22MB
60,deit_tiny_distilled_patch16_224_imagenet_11,22.60MB
61,cyclegan_apple2orange_g_11,43.47MB
62,pytorchencoding_fcn_resnest50_pcontext_11,142.12MB
63,pgan_celebahq_256_gen_11,87.93MB
64,deit_small_patch16_224_imagenet_11,84.16MB
65,mealv2_efficientnet_b0_imagenet_11,20.13MB
66,deit_small_distilled_patch16_224_imagenet_11,85.64MB
67,hardnet68_imagenet_11,67.01MB
68,resnet18_places365_11,43.34MB
69,cyclegan_iphone2dslr_flower_g_11,43.47MB
70,cyclegan_monet2photo_g_11,43.47MB
71,cyclegan_map2sat_g_11,43.47MB
72,tinynet_d_imagenet_11,8.90MB
73,pytorchencoding_deeplab_resnest50_pcontext_11,167.57MB
74,cyclegan_facades_photo2label_g_11,43.47MB
75,stylegan_flickerhq_1024_gen_11,100.06MB
76,realesrganx4_custom_11,63.83MB
77,hardnet85_imagenet_11,139.88MB
78,realesrganx2_custom_11,63.85MB
79,alexnet_places365_11,223.16MB
80,cyclegan_horse2zebra_g_11,43.47MB
81,pgan_celebahq_256_disc_11,87.91MB
82,cyclegan_zebra2horse_g_11,43.47MB
83,seismicdeeplearning_penobscot_hrnet_patch_section_depth_11,251.14MB
84,dcgan_fashiongencloth_disc_11,11.17MB
85,unet_lgg_mri_segmentation_11,29.61MB
86,pix2pix_edges2shoes_g_11,207.59MB
87,pgan_celeba_cropped_disc_11,87.49MB
88,mediapipe_face_detection_front_proprietary_11,415.68KB
89,seismicdeeplearning_dutchf3_seresnetunet_patch_section_depth_11,135.06MB
90,ghostnet_1x_imagenet_11,19.76MB
91,cyclegan_winter2summer_yosemite_g_11,43.47MB
92,deit_base_patch16_384_imagenet_11,331.39MB
93,deit_base_patch16_224_imagenet_11,330.28MB
94,tinynet_c_imagenet_11,9.35MB
95,stylegan_flickerhq_1024_disc_11,88.04MB
96,pytorchencoding_deeplab_resnest200_pcontext_11,330.34MB
97,starnet_RGB_gan_g_prop_9,207.61MB
98,ukbiobank_deep_sex_prediction_ukbiobank_11,11.13MB
99,resnet50_fractalDB10k_11,167.75MB
100,dcgan_fashiongencloth_gen_11,14.28MB
101,realesrganx8_custom_11,63.97MB
102,cyclegan_style_cezanne_g_11,43.47MB
103,unet_carvana_carvana_11,65.85MB
104,facebook_detr_resnet_50_coco2017_12,158.72MB
105,pgan_dtd_disc_11,87.58MB
106,pgan_dtd_gen_11,88.97MB
107,compnet_weights_axial_improvement_08_NITRC_IITmean_b0_256_12,71.46MB
108,cyclegan_facades_label2photo_g_11,43.47MB
109,cyclegan_sat2map_g_11,43.47MB
110,yolov5x_v40_coco2017_12,334.71MB
111,yolov5l_v40_coco2017_12,179.43MB
112,lungmask_unet_R231CovidWeb_11,110.52MB
113,deit_tiny_patch16_224_imagenet_11,21.86MB
114,cyclegan_summer2winter_yosemite_g_11,43.47MB
115,facebook_detr_resnet_50_dc5_coco2017_12,158.72MB
