,Name,Parameters
0,cyclegan_style_vangogh_g_11,11378279
1,mealv2_mobilenetv3_small_100_imagenet_11,2536815
2,mealv1_resnest50_imagenet_11,25530472
3,pytorchencoding_deeplab_resnest101_pcontext_11,64670653
4,cyclegan_cityscapes_photo2label_g_11,11378279
5,starnet_RGB_gan_d_prop_9,1771537
6,yolov5s_v40_coco2017_12,7266987
7,cyclegan_style_ukiyoe_g_11,11378279
8,pix2pix_map2sat_g_11,54416515
9,midas_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,104081365
10,hardnet68ds_imagenet_11,4169302
11,resnet50_places365_11,24229357
12,tinynet_a_imagenet_11,6161972
13,mealv2_resnest50_imagenet_11,25530472
14,mealv2_resnest50_380x380_imagenet_11,25530472
15,compnet_weights_coronal_improvement_08_NITRC_IITmean_b0_256_12,18720255
16,starnet_Greyscale_gan_d_prop_9,1770961
17,resnet50_fractalDB1k_11,25530473
18,ukbiobank_deep_brain_age_ukbiobank_11,2951336
19,torchseg_dfn_R101_v1c_voc_11,88281425
20,mealv2_resnest50_cutmix_imagenet_11,25530472
21,ntsnet_cub2002011_11,52494554
22,taskconditioned_kaist_11,61497432
23,starnet_Greyscale_gan_g_prop_9,54413450
24,seismicdeeplearning_dutchf3_hrnet_patch_section_depth_11,65806518
25,pytorchencoding_deeplab_resnest269_pcontext_11,127227205
26,lungmask_unet_R231_11,28965339
27,pytorchencoding_deeplab_resnest200_ade_11,86597082
28,pgan_celeba_cropped_gen_11,22934212
29,pytorchencoding_fcn_resnest50_ade_11,37312924
30,pgan_celebahq_512_disc_11,23070261
31,mealv2_mobilenet_v3_large_100_imagenet_11,5470847
32,pgan_celebahq_512_gen_11,23072378
33,agripredict_disease_classification_prop_11,2881812
34,yolov5m_v40_coco2017_12,21356891
35,lungmask_unet_LTRCLobes_11,28965534
36,pytorchencoding_deeplab_resnest269_ade_11,127273979
37,stackganv2_imagenet_11,16543329
38,pix2pix_edges2handbags_g_11,54416515
39,midas_small_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,16563908
40,cyclegan_orange2apple_g_11,11378279
41,compnet_weights_sagittal_improvement_09_NITRC_IITmean_b0_256_12,18720255
42,facebook_detr_resnet_50_dc5_panoptic_coco2017_12,42948884
43,cyclegan_cityscapes_label2photo_g_11,11378279
44,hardnet39ds_imagenet_11,3479820
45,pix2pix_sat2map_g_11,54416515
46,mealv2_mobilenetv3_small_075_imagenet_11,2037047
47,tinynet_b_imagenet_11,3713898
48,pytorchencoding_deeplab_resnest50_ade_11,43960476
49,seismicdeeplearning_dutchf3_hrnet_patch_patch_depth_11,65806518
50,pix2pix_day2night_g_11,54416515
51,pix2pix_facades_label2photo_g_11,54416515
52,densenet161_places365_11,27453005
53,tinynet_e_imagenet_11,2035852
54,pytorchencoding_fcn_resnet50s_ade_11,35517804
55,deit_base_distilled_patch16_384_imagenet_11,87630086
56,pytorchencoding_deeplab_resnest101_ade_11,64717427
57,cyclegan_style_monet_g_11,11378279
58,facebook_detr_resnet_50_panoptic_coco2017_12,42948884
59,deit_base_distilled_patch16_224_imagenet_11,87338246
60,deit_tiny_distilled_patch16_224_imagenet_11,5910854
61,cyclegan_apple2orange_g_11,11378279
62,pytorchencoding_fcn_resnest50_pcontext_11,37242854
63,pgan_celebahq_256_gen_11,23044751
64,deit_small_patch16_224_imagenet_11,22050715
65,mealv2_efficientnet_b0_imagenet_11,5267555
66,deit_small_distilled_patch16_224_imagenet_11,22436486
67,hardnet68_imagenet_11,17559042
68,resnet18_places365_11,11358957
69,cyclegan_iphone2dslr_flower_g_11,11378279
70,cyclegan_monet2photo_g_11,11378279
71,cyclegan_map2sat_g_11,11378279
72,tinynet_d_imagenet_11,2329542
